"b","bF","nb","x1","y0","tauib","y1"
1,"1",8,1705,63266.1003335295,-62628.2380255656,637.862307963922
1,"1",8,1720,63822.449820327,-37920.679364324,25901.770456003
1,"1",8,1657,61489.0193593638,-59267.8384510755,2221.1809082883
1,"1",8,1699,63043.4982957933,-57116.9831357354,5926.51516005788
1,"1",8,1636,60706.9217229069,-98154.5519177035,0
1,"1",8,1662,61670.2896607409,-65388.2757472027,0
1,"1",8,1648,61150.9075859986,-39471.3326177872,21679.5749682114
1,"1",8,1613,0,-57201.2529248187,0
2,"2",20,1409,51611.1656059374,-66982.9034119037,0
2,"2",20,1347,49340.4994406497,-45172.7389816807,4167.76045896895
2,"2",20,1364,49962.7432517604,-72923.3212379928,0
2,"2",20,1424,52160.503281833,-58079.1268640514,0
2,"2",20,1434,52529.0387394122,-45748.3157339843,6780.72300542786
2,"2",20,1318,0,-41785.0959614765,0
2,"2",20,1435,52566.3170505885,-40178.7054720802,12387.6115785083
2,"2",20,1413,51757.4127359567,-58307.9105603644,0
2,"2",20,1384,50695.2451620177,-73939.3600069318,0
2,"2",20,1348,49379.6890981547,-69850.0771290356,0
2,"2",20,1425,52197.0223352071,-68046.5911750194,0
2,"2",20,1409,51610.8558747308,-43727.9728349007,7882.88303983005
2,"2",20,1379,50512.0736837521,-53010.8450691435,0
2,"2",20,1408,51576.680050144,-70666.6685893556,0
2,"2",20,1447,53003.0785354206,-53636.107270403,0
2,"2",20,1381,50594.2537760739,-56291.682963337,0
2,"2",20,1358,49742.9257274976,-46915.9454139306,2826.98031356696
2,"2",20,1442,52819.7053617056,-51474.024498582,1345.68086312356
2,"2",20,1418,51942.1626411544,-52232.1008926194,0
2,"2",20,1430,52380.9467938636,-44587.8004223361,7793.14637152752
3,"3",30,1243,42534.7996343735,-55611.4074497817,0
3,"3",30,1289,44110.5331929404,-57501.05136442,0
3,"3",30,1269,43424.1088344854,-54376.1306630628,0
3,"3",30,1280,43800.4592124365,-80788.8891841517,0
3,"3",30,1197,40960.7922949842,-42120.2886020613,0
3,"3",30,1211,41441.7749722697,-70271.9121129882,0
3,"3",30,1259,43081.8674081209,-42449.7753967269,632.092011393928
3,"3",30,1247,42671.8085300432,-66113.8085122904,0
3,"3",30,1239,42398.2599381142,-58817.5224490736,0
3,"3",30,1274,43596.7258456985,-55806.6274647014,0
3,"3",30,1194,0,-52601.4074689163,0
3,"3",30,1257,43014.4170789048,-64480.3367958593,0
3,"3",30,1276,43663.5776855188,-57733.3867921362,0
3,"3",30,1248,42705.698080966,-56167.0298056799,0
3,"3",30,1265,43287.2684844409,-52817.0747925372,0
3,"3",30,1276,43667.4140990243,-67277.214926964,0
3,"3",30,1204,41200.2912410327,-54905.1061640978,0
3,"3",30,1235,42261.1366879302,-65024.9293844559,0
3,"3",30,1279,43766.4350570785,-50430.4882177575,0
3,"3",30,1291,44177.2998931877,-44078.2945147406,99.0053784471165
3,"3",30,1274,43598.0571296034,-64067.2901843497,0
3,"3",30,1313,44930.0045654496,-62844.9911056428,0
3,"3",30,1197,0,-60373.6467953724,0
3,"3",30,1203,41165.7751032403,-54646.7129381503,0
3,"3",30,1276,43663.6221430522,-57411.6655716603,0
3,"3",30,1243,42534.9293781284,-69725.6455135696,0
3,"3",30,1299,44450.6214118005,-43993.979580195,456.641831605484
3,"3",30,1313,44929.7540539723,-49140.2230109862,0
3,"3",30,1262,43185.2418115448,-66938.566910915,0
3,"3",30,1233,42193.2003318465,-63763.9156411412,0
4,"4",40,308,4986.8564720544,-6614.90835968486,0
4,"4",40,302,4890.25166260328,-6650.22560180888,0
4,"4",40,313,5068.745717901,-8187.54961056083,0
4,"4",40,308,4986.83603914274,-5868.94165573459,0
4,"4",40,296,0,-6742.67471210087,0
4,"4",40,331,5359.32255428804,-8216.32600063431,0
4,"4",40,334,5408.21770437953,-8733.26283485322,0
4,"4",40,326,5278.44066122558,-4939.7653734031,338.675287822482
4,"4",40,296,4793.41230691457,-6867.32495974536,0
4,"4",40,337,5456.37030992196,-6406.57329408884,0
4,"4",40,321,5203.15546280039,-8648.06925950617,0
4,"4",40,328,5312.2732580605,-6613.81772032481,0
4,"4",40,326,5280.07055108865,-8496.56066683364,0
4,"4",40,327,5294.61784817347,-7493.91301054716,0
4,"4",40,323,5233.70566674343,-8493.13847477623,0
4,"4",40,335,5429.25255861392,-4455.84116789512,973.4113907188
4,"4",40,304,4922.15659181049,-5926.50751282974,0
4,"4",40,349,5651.31465607736,-9365.53899041629,0
4,"4",40,344,5569.75385413573,-9006.00141918229,0
4,"4",40,323,5229.69620481966,-7219.63380379824,0
4,"4",40,305,4939.28372231236,-6271.83585908213,0
4,"4",40,330,5343.75055944125,-5150.76554333057,192.985016110688
4,"4",40,321,5197.33043246947,-7434.95683114077,0
4,"4",40,311,5037.71177767885,-8667.03735331556,0
4,"4",40,303,4906.06906933629,-6428.6859210217,0
4,"4",40,323,5230.10832533424,-6553.91089983935,0
4,"4",40,315,5101.20615537962,-6612.77574132867,0
4,"4",40,358,5796.38809602042,-6806.94632799866,0
4,"4",40,345,5585.91274102141,-6291.59097180357,0
4,"4",40,310,5019.36848250918,-8492.03662744664,0
4,"4",40,340,5505.00936067018,-6811.64105295018,0
4,"4",40,293,0,-7859.83220771035,0
4,"4",40,306,4954.67145786245,-7326.79666008085,0
4,"4",40,324,5245.92017248313,-9588.42788574588,0
4,"4",40,319,5164.9366574122,-7665.1459869425,0
4,"4",40,337,5456.39890381548,-8520.3869052183,0
4,"4",40,313,5068.45110803734,-7231.49359561625,0
4,"4",40,307,4977.09106996859,-9574.12150916215,0
4,"4",40,307,4976.55890154223,-7614.73844354548,0
4,"4",40,349,5653.20213363518,-7302.74088992517,0
5,"5",50,131,1331.14923888037,-2359.21726662433,0
5,"5",50,137,1393.65048660054,-1775.43694948941,0
5,"5",50,146,1484.79131736987,-2259.18453198021,0
5,"5",50,124,1259.85894365492,-2187.19062694234,0
5,"5",50,131,1331.24947294897,-2428.68951764485,0
5,"5",50,149,1513.79083750326,-2625.4110106543,0
5,"5",50,147,1493.46644515178,-2256.00092172689,0
5,"5",50,141,1437.79692349639,-2821.22531780053,0
5,"5",50,112,0,-2268.98420187335,0
5,"5",50,136,1382.00305461103,-2658.45708730422,0
5,"5",50,125,1270.00513659722,-2394.12653509988,0
5,"5",50,125,1270.10572470122,-2363.10547579146,0
5,"5",50,125,1269.95903613304,-2341.88107158768,0
5,"5",50,130,1321.03009894347,-1370.65960930284,0
5,"5",50,134,1361.38991359226,-2305.99307414241,0
5,"5",50,133,1354.44237033278,-2018.83372619938,0
5,"5",50,143,1453.265390917,-2090.02657847682,0
5,"5",50,130,1320.97759354741,-2125.283714674,0
5,"5",50,110,0,-2295.78886882201,0
5,"5",50,134,1362.72376823091,-2285.93143913279,0
5,"5",50,135,1374.15744741251,-2246.62470534495,0
5,"5",50,116,0,-2046.39508515196,0
5,"5",50,134,1362.54819649495,-2037.06279402726,0
5,"5",50,143,1456.19059551738,-2239.7492712473,0
5,"5",50,139,1412.37596601065,-2748.5816768695,0
5,"5",50,132,1344.54609438474,-2192.039277112,0
5,"5",50,117,1188.98899044155,-2157.79486644486,0
5,"5",50,140,1423.95139407227,-2355.83084474553,0
5,"5",50,136,1381.8538500188,-2075.05114737311,0
5,"5",50,143,1452.9540234954,-2318.87905135067,0
5,"5",50,124,1261.78727047777,-2750.01595798184,0
5,"5",50,139,1413.57281595746,-2378.66829607788,0
5,"5",50,160,1630.36969557854,-2468.31321124774,0
5,"5",50,145,1474.00725268123,-2192.67296363098,0
5,"5",50,130,1321.7879872947,-2954.44951370071,0
5,"5",50,135,1371.73694780625,-2403.90599041866,0
5,"5",50,126,1280.67620885002,-2509.6813707662,0
5,"5",50,119,1210.23242905963,-2108.72588695812,0
5,"5",50,140,1423.21355574881,-1919.40802765473,0
5,"5",50,135,1371.6516590191,-1851.70600142909,0
5,"5",50,142,1442.83039552344,-2082.81469828982,0
5,"5",50,135,1372.04797784185,-2401.41889661483,0
5,"5",50,122,1240.04275499761,-2483.79888449756,0
5,"5",50,149,1516.21014467299,-2618.99354476982,0
5,"5",50,130,1322.61991332393,-2734.68804511443,0
5,"5",50,136,1381.70927551599,-2628.99698009816,0
5,"5",50,143,1453.98092592545,-3317.25116911212,0
5,"5",50,138,1403.95921316364,-2397.60491218491,0
5,"5",50,137,1396.42079609626,-2181.08883097241,0
5,"5",50,150,1524.72606570272,-2410.80146932727,0
6,"6",60,654,18786.111164917,-31619.6676267478,0
6,"6",60,683,19620.472285412,-34260.3843349352,0
6,"6",60,666,19133.5540717357,-29836.9116393758,0
