"b","bF","nb","x1","y0","tauib","y1","Y_Z_0","Y_Z_1","Z","Y","pib","nTb","nCb","nbwt","hbwt"
1,"1",8,1705,63266.1003335295,-62628.2380255656,637.862307963922,63266.1003335295,637.862307963922,0,63266.1003335295,0.5,4,4,2,0.5
1,"1",8,1720,63822.449820327,-37920.679364324,25901.770456003,63822.449820327,25901.770456003,1,25901.770456003,0.5,4,4,2,0.5
1,"1",8,1657,61489.0193593638,-59267.8384510755,2221.1809082883,61489.0193593638,2221.1809082883,1,2221.1809082883,0.5,4,4,2,0.5
1,"1",8,1699,63043.4982957933,-57116.9831357354,5926.51516005788,63043.4982957933,5926.51516005788,0,63043.4982957933,0.5,4,4,2,0.5
1,"1",8,1636,60706.9217229069,-98154.5519177035,0,60706.9217229069,0,1,0,0.5,4,4,2,0.5
1,"1",8,1662,61670.2896607409,-65388.2757472027,0,61670.2896607409,0,0,61670.2896607409,0.5,4,4,2,0.5
1,"1",8,1648,61150.9075859986,-39471.3326177872,21679.5749682114,61150.9075859986,21679.5749682114,1,21679.5749682114,0.5,4,4,2,0.5
1,"1",8,1613,0,-57201.2529248187,0,0,0,0,0,0.5,4,4,2,0.5
2,"2",20,1409,51611.1656059374,-66982.9034119037,0,51611.1656059374,0,0,51611.1656059374,0.1,2,18,1.11111111111111,0.1
2,"2",20,1347,49340.4994406497,-45172.7389816807,4167.76045896895,49340.4994406497,4167.76045896895,0,49340.4994406497,0.1,2,18,1.11111111111111,0.1
2,"2",20,1364,49962.7432517604,-72923.3212379928,0,49962.7432517604,0,0,49962.7432517604,0.1,2,18,1.11111111111111,0.1
2,"2",20,1424,52160.503281833,-58079.1268640514,0,52160.503281833,0,1,0,0.1,2,18,10,0.9
2,"2",20,1434,52529.0387394122,-45748.3157339843,6780.72300542786,52529.0387394122,6780.72300542786,0,52529.0387394122,0.1,2,18,1.11111111111111,0.1
2,"2",20,1318,0,-41785.0959614765,0,0,0,0,0,0.1,2,18,1.11111111111111,0.1
2,"2",20,1435,52566.3170505885,-40178.7054720802,12387.6115785083,52566.3170505885,12387.6115785083,0,52566.3170505885,0.1,2,18,1.11111111111111,0.1
2,"2",20,1413,51757.4127359567,-58307.9105603644,0,51757.4127359567,0,0,51757.4127359567,0.1,2,18,1.11111111111111,0.1
2,"2",20,1384,50695.2451620177,-73939.3600069318,0,50695.2451620177,0,0,50695.2451620177,0.1,2,18,1.11111111111111,0.1
2,"2",20,1348,49379.6890981547,-69850.0771290356,0,49379.6890981547,0,0,49379.6890981547,0.1,2,18,1.11111111111111,0.1
2,"2",20,1425,52197.0223352071,-68046.5911750194,0,52197.0223352071,0,0,52197.0223352071,0.1,2,18,1.11111111111111,0.1
2,"2",20,1409,51610.8558747308,-43727.9728349007,7882.88303983005,51610.8558747308,7882.88303983005,0,51610.8558747308,0.1,2,18,1.11111111111111,0.1
2,"2",20,1379,50512.0736837521,-53010.8450691435,0,50512.0736837521,0,0,50512.0736837521,0.1,2,18,1.11111111111111,0.1
2,"2",20,1408,51576.680050144,-70666.6685893556,0,51576.680050144,0,0,51576.680050144,0.1,2,18,1.11111111111111,0.1
2,"2",20,1447,53003.0785354206,-53636.107270403,0,53003.0785354206,0,1,0,0.1,2,18,10,0.9
2,"2",20,1381,50594.2537760739,-56291.682963337,0,50594.2537760739,0,0,50594.2537760739,0.1,2,18,1.11111111111111,0.1
2,"2",20,1358,49742.9257274976,-46915.9454139306,2826.98031356696,49742.9257274976,2826.98031356696,0,49742.9257274976,0.1,2,18,1.11111111111111,0.1
2,"2",20,1442,52819.7053617056,-51474.024498582,1345.68086312356,52819.7053617056,1345.68086312356,0,52819.7053617056,0.1,2,18,1.11111111111111,0.1
2,"2",20,1418,51942.1626411544,-52232.1008926194,0,51942.1626411544,0,0,51942.1626411544,0.1,2,18,1.11111111111111,0.1
2,"2",20,1430,52380.9467938636,-44587.8004223361,7793.14637152752,52380.9467938636,7793.14637152752,0,52380.9467938636,0.1,2,18,1.11111111111111,0.1
3,"3",30,1243,42534.7996343735,-55611.4074497817,0,42534.7996343735,0,1,0,0.5,15,15,2,0.5
3,"3",30,1289,44110.5331929404,-57501.05136442,0,44110.5331929404,0,1,0,0.5,15,15,2,0.5
3,"3",30,1269,43424.1088344854,-54376.1306630628,0,43424.1088344854,0,1,0,0.5,15,15,2,0.5
3,"3",30,1280,43800.4592124365,-80788.8891841517,0,43800.4592124365,0,1,0,0.5,15,15,2,0.5
3,"3",30,1197,40960.7922949842,-42120.2886020613,0,40960.7922949842,0,1,0,0.5,15,15,2,0.5
